schema_table,description
whse_wildlife_management.wcp_ung_wntr_rng_proposed_sp,"An Ungulate Winter Range (UWR) is defined as an area that contains habitat that is necessary to meet the winter habitat requirements of an ungulate species. UWR are based on current understanding of ungulate habitat requirements in winter as interpreted by FLNR regional staff from current scientific and management literature local knowledge and other expertise from the region. UWR within this set of data are currently in the review and consultation stage of the area designation process."
whse_imagery_and_base_maps.gsr_urgnt_prmry_care_cntrs_sv,"GSR_URGNT_PRMRY_CARE_CNTRS_SV is a spatially enabled layer comprising  Urgent and Primary Care Centre listings from HealthLinkBC"
whse_forest_vegetation.veg_comp_lyr_d_poly,"This instantiated table is a join between VEG_COMP_POLY and VEG_COMP_LYR_D_VW on FEATURE_ID."
whse_forest_vegetation.veg_comp_lyr_r1_poly,"This instantiated table is a join between VEG_COMP_POLY and VEG_COMP_LYR_R1_VW on FEATURE_ID."
whse_forest_vegetation.seed_veg_lot_point_mvw,"snapshot table for snapshot WHSE_FOREST_VEGETATION.SEED_VEG_LOT_POINT_MVW"
whse_environmental_monitoring.shzn_video_flightline_points,"VIDEO FLIGHT POINTS are a specific GPS spatial point recorded during the video taping of the shoreline. They are represented by a specific latitude and longitude taken at a specific date and time. They are associated with a specific VIDEO SEGMENT."
whse_forest_vegetation.rec_visual_landscape_inventory,null
whse_forest_vegetation.rec_screenings_poly,null
whse_forest_vegetation.rec_viewing_direction_lin,null
whse_forest_vegetation.rec_viewpoint_point_svw,null
whse_forest_vegetation.rec_vims_vli_svw,null
whse_forest_vegetation.rec_vims_scenic_area_svw,null
whse_forest_vegetation.rec_vims_evqo_svw,null
whse_basemapping.wsa_watersheds,
whse_environmental_monitoring.emo_tanker_exclusions,
whse_forest_vegetation.gry_psp_status_all,
whse_fish.wdic_aquatic_feature_point_svw,null
whse_fish.wdic_watershed_group_poly,null
whse_fish.wdic_waterbody_stream_line_svw,null
whse_fish.wdic_waterbody_route_line_svw,null
whse_fish.wdic_watershed_poly_svw,"WDIC_WATERSHED_POLY_SVW is a business view joining base watersheds from the WDIC_WATERBODY_POLY table with the WDIC_WATERSHEDS attribute table."
whse_fish.wdic_waterbody_poly_svw,null
whse_imagery_and_base_maps.gsr_med_walk_in_clinics_sv,"GSR_MED_WALK_IN_CLINICS_SV is a spatially enabled layer comprising                                       Locations of medical walk-in clinics which have treatment services for people who have minor illnesses or injuries that do not require a visit to a hospital emergency "
whse_water_management.wls_water_notation_sv,"Notation points are used to indicate a potential lack of water availability on the source and are placed on the downstream point of a stream network or within the boundaries of an aquifer. This dataset contains only active notations."
whse_water_management.wls_water_approvals_svw,"Water Act Approvals are issued under the Water Sustainability Act and are issued as either a Section 10 for Short Term Use of Water or a Section 11 for Changes in and about a Stream depending on the type of proposed works. The Water Sustainability Act and Regulations describe the type of works that are covered under each type of approval. Work cannot be started until the adjudication and issuance if applicable of the approval."
whse_water_management.wls_water_licenced_wrk_line_sp,"A Water Licensced Work Line  (WATER LICENCED WRK LINE SP) is a Single line  feature representing \"works\" associated with water licences digitized from the plat map associated with a water licence. Question of redundancy with TRIM:  these are the features that are necessary for licensing under the Water Act.  Some of these features (such as access roads) may exist in TRIM in which case the TRIM feature may be used.  In many cases however because the feature is a licenced work meaning that it is permitted according to the licence but might not actually exist yet (as opposed to TRIM features which strive to show what exists on the ground).This is not a multipart feature."
whse_water_management.wls_water_licenced_wrk_loc_sp,"A Water Licensced Work Location (WATER LICENCED WRK LOC SP) is a Single  point  feature representing \"works\" associated with water licences digitized from the plat map associated with a water licence. Question of redundancy with TRIM:  these are the features that are necessary for licensing under the Water Act.  Some of these features (such as access roads) may exist in TRIM in which case the TRIM feature may be used.  In many cases however because the feature is a licenced work meaning that it is permitted according to the licence but might not actually exist yet (as opposed to TRIM features which strive to show what exists on the ground).This is not a multipart feature."
whse_water_management.wls_water_lic_watersheds_sp,"Groupings of BC Freshwater Atlas (FWA) Assessment Watersheds dissolved to a manageable scale for water licensing. Each Natural Resource Region developed their own process for grouping and naming the watersheds based on the water management needs of each Region."
whse_admin_boundaries.lwadm_watmgmt_dist_area_svw,null
whse_admin_boundaries.lwadm_watmgmt_prec_area_svw,null
whse_water_management.wq_wqo_rpt_index_sp,"WQO RPT INDEX SP is a province-wide SDE index layer displaying areas with completed Water Quality Objectives Reports containing URL links to the reports."
whse_water_management.wls_water_reservation_sv,"Province-wide spatial view showing the most downstream point of a stream or drainage system established by Order-in-Council as a Water Reservation."
whse_water_management.wls_water_reserves_poly,"WATER RESERVES POLY is a province-wide SDE layer displaying areas in which the water is reserved."
whse_water_management.wls_water_resource_mgmt_point,"WATER RESOURCE MGMT POINT is a province-wide SDE layer displaying point features that are at the mouths of streams that have been designated as Sensitive Streams or Protected Rivers."
whse_water_management.wls_water_resource_mgmt_line,"WATER RESOURCE MGMT LINE is a province-wide SDE layer displaying the Fresh Water Atlas Stream Network streams that are either reserved or have been designated as Sensitive Streams or Protected Rivers."
whse_water_management.wls_water_rights_applictns_sv,"Applications for water rights licences under the Water Sustainability Act for diverting water within the province of BC are displayed in this layer. If an application is approved it will display in the water rights licences layer.  If the application is refused it will remain in this layer and display as refused. The applications can request to draw water from surface water sources such as lakes and rivers groundwater sources such as aquifers or non-well points of groundwater diversion such as dugouts ditches and quarries. The locations of the diversions are based on the latitude and longitudes associated with the proposed diversions on the application which may be adjusted for improved accuracy during the licence adjudication process."
